courseName,certification,program,description,Image,Status
Trainers Methodology,LV I,Mobile Training Program (MTP),"Prepares trainers with the skills to plan, conduct, and assess training sessions, focusing on effective teaching strategies and methodologies.",Trainers Methodology Level I,Available
Appreciation Course for Baking and Pastry Production by Bread Making,,Training Monitoring & No Training Regulation (NTR) Programs,"Introduces participants to the fundamental techniques of bread-making, focusing on basic baking processes, ingredient handling, and creating a variety of bread products.",Appreciation Course for Baking and Pastry Production by Bread Making,Available
Basic Financial Literacy,,Training Monitoring & No Training Regulation (NTR) Programs,"Provides foundational knowledge on managing personal and small business finances, including budgeting, saving, and understanding financial instruments.",Basic Financial Literacy,Available
Basic Troubleshooting and Maintenance of Motorcycle Unit,,Training Monitoring & No Training Regulation (NTR) Programs,"Covers essential skills for diagnosing and repairing common issues in motorcycle units, ensuring basic maintenance for optimal performance.",Basic Troubleshooting and Maintenance of Motorcycle Unit,Available
Basic Video Production,,Training Monitoring & No Training Regulation (NTR) Programs,"Equips participants with skills in video creation, including storyboarding, shooting, editing, and producing basic video content for various purposes.",Basic Video Production,Available
Engine Servicing and Motor Vehicle Emission Control,,Training Monitoring & No Training Regulation (NTR) Programs,Focuses on servicing vehicle engines and implementing measures to control motor vehicle emissions in compliance with environmental standards.,Engine Servicing and Motor Vehicle Emission Control,Available
Entrepreneurial Mind-Setting Skills Training Program,,Training Monitoring & No Training Regulation (NTR) Programs,"Encourages participants to adopt an entrepreneurial mindset, focusing on creativity, risk-taking, problem-solving, and starting or managing a business.",Entrepreneurial Mind-Setting Skills Training Program,Available
Ornamental Welding leading to SMAW,NC I,Training Monitoring & No Training Regulation (NTR) Programs,"Introduces decorative welding techniques, preparing learners for more advanced Shielded Metal Arc Welding (SMAW) skills in NC I certification.",Ornamental Welding leading to SMAW NC I,Available
Overhaul Motorcycle/Small Engine (leading to MSES NC II),,Training Monitoring & No Training Regulation (NTR) Programs,"Covers the complete disassembly, inspection, repair, and reassembly of motorcycle and small engine units, leading to the Motorcycle/Small Engine Servicing NC II certification.",Overhaul Motorcycle/Small Engine (leading to MSES NC II),Available
Perform Single Unit Plumbing Installation and Assemblies,,Training Monitoring & No Training Regulation (NTR) Programs,Teaches the basics of installing and assembling single-unit plumbing systems for water supply and drainage in small projects.,Perform Single Unit Plumbing Installation and Assemblies,Available
Transport RAC Servicing,NC II,Training Monitoring & No Training Regulation (NTR) Programs,Trains individuals in servicing and maintaining transport refrigeration and air-conditioning systems for vehicles.,Transport RAC Servicing NCII,Available
Herbal Processing (NTR),,Training Monitoring & No Training Regulation (NTR) Programs,"Provides training on preparing and processing herbal products, including drying, grinding, and packaging herbs for medicinal and commercial purposes.",Herbal Processing (NTR),Available
"Production of High-Quality Inbred Rice, Seed Certification, and Farm Mechanization (NTR)",,Training Monitoring & No Training Regulation (NTR) Programs,"Focuses on inbred rice production techniques, seed certification processes, and the use of modern farm machinery to enhance productivity.","Production of High-Quality Inbred Rice, Seed Certification, and Farm Mechanization (NTR)",Available
